Time Serie ID,Damage Scenarios,Date,Start_Time,End_Time
AMB_1,DS0,26.11.2019,10:32:00,10:42:00
AMB_2,DS1,26.11.2019,11:54:20,12:13:47
AMB_3,DS1,26.11.2019,12:44:08,13:02:19
AMB_4,DS1,26.11.2019,13:30:30,13:44:19
AMB_5,DS1,26.11.2019,15:54:45,16:24:59
AMB_6,DS2,26.11.2019,16:32:08,16:40:22
AMB_7,DS2,26.11.2019,16:50:08,16:59:59
AMB_8,DS2,26.11.2019,17:21:00,17:30:57
AMB_9,DS2,26.11.2019,17:50:00,18:00:53
AMB_10,DS2,26.11.2019,19:05:00,23:59:58
AMB_11,DS2,27.11.2019,0:01:35,5:04:59
AMB_12,DS2,27.11.2019,9:13:00,9:22:59
AMB_13,DS2,27.11.2019,10:12:28,10:16:59
AMB_14,DS2,27.11.2019,10:35:50,10:40:59
AMB_15,DS2,27.11.2019,10:53:00,10:55:39
AMB_16,DS2,27.11.2019,11:34:35,11:40:59
AMB_17,DS2,27.11.2019,12:25:00,12:39:59
AMB_18,DS2,27.11.2019,12:40:00,16:59:59
AMB_19,DS3,27.11.2019,18:00:00,19:29:59
AMB_20,DS3,27.11.2019,19:30:00,23:59:58
AMB_21,DS3,28.11.2019,0:00:41,7:29:59
AMB_22,DS3,28.11.2019,7:47:00,8:11:59
AMB_23,DS3,28.11.2019,8:12:00,8:16:59
AMB_24,DS3,28.11.2019,8:35:00,8:39:59
AMB_25,DS3,28.11.2019,8:47:00,8:56:59
AMB_26,DS3,28.11.2019,8:57:00,9:04:59
AMB_27,DS3,28.11.2019,9:43:00,9:52:59
AMB_28,DS3,28.11.2019,10:26:00,11:03:59
AMB_29,DS3,28.11.2019,11:10:15,11:25:14
AMB_30,DS3,28.11.2019,11:28:30,11:35:09
AMB_31,DS4,28.11.2019,11:53:00,11:59:59
AMB_32,DS4,28.11.2019,12:15:00,12:59:59
AMB_33,DS4,28.11.2019,13:00:00,13:44:59
AMB_34,DS5,28.11.2019,13:46:00,13:51:59
AMB_35,DS5,28.11.2019,14:02:10,14:07:19
AMB_36,DS5,28.11.2019,14:14:00,15:21:59
AMB_37,DS6,28.11.2019,15:22:00,15:29:44
AMB_38,DS6,28.11.2019,16:13:00,16:17:59
AMB_39,DS6,28.11.2019,17:01:10,17:04:59
AMB_40,DS6,28.11.2019,17:19:45,17:24:54
AMB_41,DS6,28.11.2019,17:35:10,17:40:39
AMB_42,DS6,28.11.2019,18:00:00,18:59:59
AMB_43,DS6,28.11.2019,19:00:00,23:59:58
AMB_44,DS6,29.11.2019,0:00:39,7:19:59
AMB_45,DS6,29.11.2019,8:00:00,8:15:59
AMB_46,DS6,29.11.2019,8:16:00,8:27:59
AMB_47,DS7,29.11.2019,8:56:00,9:15:29
AMB_48,DS7,29.11.2019,9:31:00,9:32:59
FVA_4,DS2,26.11.2019,17:02:00,17:04:59
FVA_30,DS6,28.11.2019,17:11:00,17:13:52
FVA_29,DS6,28.11.2019,17:08:00,17:10:52
FVA_6,DS2,26.11.2019,17:31:00,17:34:59
FVA_5,DS2,26.11.2019,17:05:10,17:07:09
FVA_34,DS6,28.11.2019,17:44:00,17:45:49
FVA_3,DS1,26.11.2019,16:40:24,16:43:19
FVA_19,DS4,28.11.2019,9:55:00,9:57:51
FVA_8,DS2,27.11.2019,9:25:00,9:27:59
FVA_28,DS6,28.11.2019,16:31:00,16:33:59
FVA_2,DS1,26.11.2019,16:25:15,16:26:39
FVA_33,DS6,28.11.2019,17:40:40,17:42:39
FVA_18,DS4,28.11.2019,9:09:00,9:11:19
FVA_36,DS6,28.11.2019,17:57:15,17:59:59
FVA_25,DS6,28.11.2019,15:51:03,15:53:54
FVA_15,DS3,28.11.2019,8:40:15,8:43:44
FVA_32,DS6,28.11.2019,17:28:00,17:30:59
FVA_20,DS4,28.11.2019,9:57:55,10:00:59
FVA_11,DS2,27.11.2019,10:58:00,11:01:59
FVA_35,DS6,28.11.2019,17:54:45,17:56:54
FVA_24,DS4,28.11.2019,12:03:20,12:04:19
FVA_7,DS2,26.11.2019,18:01:00,18:03:59
FVA_14,DS3,28.11.2019,8:23:00,8:24:59
FVA_21,DS4,28.11.2019,11:40:35,11:44:54
FVA_1,DS0,26.11.2019,10:45:28,10:47:34
FVA_9,DS2,27.11.2019,10:17:00,10:20:39
FVA_12,DS2,27.11.2019,12:06:00,12:09:49
FVA_27,DS6,28.11.2019,16:28:00,16:30:49
FVA_22,DS4,28.11.2019,11:46:00,11:47:59
FVA_10,DS2,27.11.2019,10:41:00,10:44:49
FVA_13,DS3,28.11.2019,8:19:40,8:22:09
FVA_26,DS6,28.11.2019,15:55:00,15:56:49
FVA_17,DS4,28.11.2019,9:05:32,9:08:09
FVA_31,DS6,28.11.2019,17:25:00,17:27:52
FVA_16,DS3,28.11.2019,8:43:50,8:47:59
FVA_23,DS4,28.11.2019,12:00:05,12:02:54
FVB_12,DS6,28.11.2019,16:54:00,16:56
FVB_6,DS6,28.11.2019,13:56:15,13:59:34
FVB_3,DS4,28.11.2019,12:08:00,12:10:54
FVB_7,DS6,28.11.2019,14:07:27,14:09:54
FVB_2,DS4,28.11.2019,11:38:00,11:40:24
FVB_10,DS6,28.11.2019,15:33:00,15:34:59
FVB_1,DS4,28.11.2019,11:35:14,11:37:53
FVB_4,DS4,28.11.2019,12:11:00,12:13:59
FVB_11,DS6,28.11.2019,16:51:00,16:53:59
FVB_5,DS6,28.11.2019,13:52:25,13:54:54
FVB_9,DS6,28.11.2019,15:29:50,15:32:49
FVB_8,DS6,28.11.2019,14:10:00,14:12:59
